"","year","pctcode","congdist","r_factor"
"1561",2010,"2590","5",0.579951544518474
"1562",2010,"2595","5",0.572409845449342
"1563",2010,"2600","5",0.615709459459459
"1564",2010,"2605","5",0.563984168865435
"1565",2010,"2610","5",0.546594982078853
"1566",2010,"2615","5",0.511089206505668
"1567",2010,"2645","5",0.545372866127583
"1568",2010,"2655","5",0.662200568412505
"1569",2010,"2665","5",0.51453488372093
"1570",2010,"2675","5",0.582972582972583
"1571",2010,"2695","6",0.481481481481481
"1572",2010,"2710","3",0.546086956521739
"1573",2010,"2715","3",0.66271186440678
"1574",2010,"2720","3",0.760869565217391
"1575",2010,"2725","3",0.721872187218722
"1576",2010,"2730","3",0.670353982300885
"1577",2010,"2735","3",0.72043852779953
"1578",2010,"2740","3",0.729684908789386
"1579",2010,"2755","3",0.494324045407637
"1580",2010,"2765","5",0.66333998669328
"1581",2010,"2770","5",0.715807413719642
"1582",2010,"2780","3",0.627046263345196
"1583",2010,"2790","5",0.63298080689385
"1584",2010,"2795","5",0.615188257817486
"1585",2010,"2800","5",0.565068493150685
"1586",2010,"2805","5",0.577651515151515
"1587",2010,"2810","5",0.564952048823017
"1588",2010,"2815","5",0.381606765327696
"1589",2010,"2820","5",0.498598458304135
"1590",2010,"2825","5",0.694325808419768
"1591",2010,"2830","5",0.512343334599316
"1592",2010,"2835","5",0.570487483530962
"1593",2010,"2840","5",0.616077616077616
"1594",2010,"2845","5",0.464094955489614
"1595",2010,"2850","5",0.547297297297297
"1596",2010,"2855","5",0.508127633955449
"1597",2010,"2860","5",0.557421087978509
"1598",2010,"2865","5",0.643964302489432
"1599",2010,"2870","5",0.579984239558708
"1600",2010,"2900","3",0.70970695970696
"1601",2010,"2910","3",0.652703731911653
"1602",2010,"2925","3",0.693548387096774
"1603",2010,"5","1",0.675824175824176
"1604",2010,"10","1",0.630952380952381
"1605",2010,"15","1",0.6309963099631
"1606",2010,"20","1",0.581529581529582
"1607",2010,"25","1",0.535751295336788
"1608",2010,"30","1",0.644736842105263
"1609",2010,"35","1",0.54639175257732
"1610",2010,"40","1",0.658064516129032
"1611",2010,"45","1",0.623145400593472
"1612",2010,"50","1",0.667673716012085
"1613",2010,"55","1",0.588640275387263
"1614",2010,"60","1",0.703703703703704
"1615",2010,"65","1",0.617647058823529
"1616",2010,"70","1",0.671843349088454
"1617",2010,"75","1",0.60634328358209
"1618",2010,"76","1",0.527839643652561
"1619",2010,"80","1",0.726304579339723
"1620",2010,"85","1",0.604166666666667
"1621",2010,"90","1",0.56639566395664
"1622",2010,"95","1",0.56575682382134
"1623",2010,"100","1",0.58421052631579
"1624",2010,"105","1",0.670650730411687
"1625",2010,"110","1",0.732600732600733
"1626",2010,"115","1",0.657534246575342
"1627",2010,"120","1",0.732600732600733
"1628",2010,"125","1",0.612903225806452
"1629",2010,"130","1",0.610894941634241
"1630",2010,"5","8",0.603305785123967
"1631",2010,"10","8",0.690340909090909
"1632",2010,"15","8",0.761904761904762
"1633",2010,"20","8",0.709302325581395
"1634",2010,"22","8",0.811594202898551
"1635",2010,"25","8",0.790909090909091
"1636",2010,"30","8",0.757085020242915
"1637",2010,"35","8",0.624
"1638",2010,"40","8",0.655629139072848
"1639",2010,"45","8",0.66865671641791
"1640",2010,"50","8",0.692579505300353
"1641",2010,"55","8",0.659340659340659
"1642",2010,"60","8",0.7
"1643",2010,"65","8",0.74812030075188
"1644",2010,"70","8",0.75
"1645",2010,"75","8",0.555555555555556
"1646",2010,"80","8",0.789333333333333
"1647",2010,"85","8",0.737051792828685
"1648",2010,"90","8",0.736
"1649",2010,"95","8",0.698181818181818
"1650",2010,"100","8",0.535714285714286
"1651",2010,"105","8",0.794366197183099
"1652",2010,"110","8",0.661016949152542
"1653",2010,"115","8",0.723140495867769
"1654",2010,"120","8",0.584400465657742
"1655",2010,"122","8",0.634237605238541
"1656",2010,"125","8",0.746710526315789
"1657",2010,"130","8",0.771428571428571
"1658",2010,"135","8",0.844444444444444
"1659",2010,"140","8",0.748251748251748
"1660",2010,"145","8",0.785714285714286
"1661",2010,"150","8",0.742368742368742
"1662",2010,"152","8",0.74468085106383
"1663",2010,"155","8",0.704081632653061
"1664",2010,"5","8",0.617210682492582
"1665",2010,"10","8",0.644677661169415
"1666",2010,"15","8",0.559360730593607
"1667",2010,"20","8",0.629734085414988
"1668",2010,"22","8",0.524179104477612
"1669",2010,"25","8",0.679768041237113
"1670",2010,"30","8",0.639269406392694
"1671",2010,"35","8",0.483353884093711
"1672",2010,"40","8",0.69120800571837
"1673",2010,"45","8",0.658227848101266
"1674",2010,"50","8",0.727522935779817
"1675",2010,"55","8",0.645276292335116
"1676",2010,"60","8",0.643292682926829
"1677",2010,"65","8",0.676160337552743
"1678",2010,"70","8",0.621768707482993
"1679",2010,"75","8",0.637894736842105
"1680",2010,"80","8",0.652326602282704
"1681",2010,"5","8",0.5
"1682",2010,"10","8",0.733208955223881
"1683",2010,"15","8",0.906542056074766
"1684",2010,"20","8",0.475177304964539
"1685",2010,"25","8",0.780104712041885
"1686",2010,"30","8",0.713544668587896
"1687",2010,"35","8",0.774834437086093
"1688",2010,"40","8",0.757575757575758
"1689",2010,"45","8",0.610576923076923
"1690",2010,"50","8",0.68944099378882
"1691",2010,"55","8",0.661508704061896
"1692",2010,"60","8",0.630769230769231
"1693",2010,"65","8",0.806451612903226
"1694",2010,"70","8",0.771084337349398
"1695",2010,"74","8",0.610526315789474
"1696",2010,"76","8",0.845528455284553
"1697",2010,"85","8",0.678620689655172
"1698",2010,"86","8",0.712
"1699",2010,"87","8",0.658227848101266
"1700",2010,"90","8",0.795045045045045
"1701",2010,"95","8",0.613636363636364
"1702",2010,"100","8",0.739234449760766
"1703",2010,"110","8",0.719298245614035
"1704",2010,"120","8",0.766990291262136
"1705",2010,"125","8",0.721311475409836
"1706",2010,"130","8",0.669540229885057
"1707",2010,"135","8",0.703703703703704
"1708",2010,"140","8",0.60388945752303
"1709",2010,"145","8",0.5
"1710",2010,"151","8",0.545380212591987
"1711",2010,"155","8",0.664893617021277
"1712",2010,"161","8",0.639449541284404
"1713",2010,"175","8",0.785714285714286
"1714",2010,"184","8",0.666666666666667
"1715",2010,"189","8",0.5625
"1716",2010,"195","8",0.721938775510204
"1717",2010,"200","8",0.700339970859641
"1718",2010,"205","8",0.594936708860759
"1719",2010,"209","8",0.736526946107784
"1720",2010,"215","8",0.666172106824926
"1721",2010,"220","8",0.753846153846154
"1722",2010,"225","8",0.658031088082902
"1723",2010,"227","8",0.717616580310881
"1724",2010,"230","8",0.724025974025974
"1725",2010,"235","8",0.5
"1726",2010,"240","8",0.773291925465838
"1727",2010,"244","8",0.882352941176471
"1728",2010,"245","8",0.808383233532934
"1729",2010,"247","8",0.596205962059621
"1730",2010,"249","8",0.737541528239203
"1731",2010,"255","8",0.709677419354839
"1732",2010,"260","8",0.778645833333333
"1733",2010,"265","8",0.628571428571429
"1734",2010,"270","8",0.727793696275072
"1735",2010,"280","8",0.659777424483307
"1736",2010,"285","8",0.703157894736842
"1737",2010,"290","8",0.730769230769231
"1738",2010,"295","8",0.746987951807229
"1739",2010,"300","8",0.714285714285714
"1740",2010,"305","8",0.739130434782609
"1741",2010,"310","8",0.87962962962963
"1742",2010,"320","8",0.748466257668712
"1743",2010,"327","8",0.786206896551724
"1744",2010,"330","8",0.642857142857143
"1745",2010,"335","8",0.810126582278481
"1746",2010,"339","8",0.622641509433962
"1747",2010,"340","8",0.777272727272727
"1748",2010,"345","8",0.975609756097561
"1749",2010,"350","8",0.71004243281471
"1750",2010,"355","8",0.763888888888889
"1751",2010,"360","8",0.765432098765432
"1752",2010,"365","8",0.692307692307692
"1753",2010,"370","8",0.836363636363636
"1754",2010,"372","8",0.673267326732673
"1755",2010,"375","8",0.689075630252101
"1756",2010,"380","8",0.835820895522388
"1757",2010,"385","8",0.767441860465116
"1758",2010,"5","1",0.691588785046729
"1759",2010,"10","1",0.757142857142857
"1760",2010,"15","1",0.688888888888889
"1761",2010,"20","1",0.718232044198895
"1762",2010,"25","1",0.625806451612903
"1763",2010,"30","1",0.682634730538922
"1764",2010,"35","1",0.79646017699115
"1765",2010,"40","1",0.802816901408451
"1766",2010,"45","1",0.600522193211488
"1767",2010,"50","1",0.675257731958763
"1768",2010,"55","1",0.662251655629139
