,B01001H_002E,B01001I_002E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B05002_003E,B05002_004E,B05003_009E,B05003_020E,B08006_002E,B08006_003E,B08006_008E,B08006_014E,B08006_015E,B08006_016E,B08006_017E,B11001_001E,B11001_002E,B11001_003E,B11001_005E,B11001_006E,B11001_007E,B11001_008E,B12001_001E,B12001_003E,B12001_004E,B12001_006E,B12001_009E,B12001_010E,B13002_008E,B13002_009E,B14002_026E,B16001_004E,B16001_005E,B17001_010E,B17001_011E,B17001_012E,B17001_013E,B17001_014E,B17001_015E,B17001_016E,B18101_001E,B19001_002E,B19001_003E,B19001_017E,B21001_002E,B21001_003E,NAME,state,county,year
451,117789,14154,259151,24293,1329,2605,230355,58431,110690,117067,124535,114216,449,484,3842,3002,4207,116551,77787,56675,5060,16052,38764,33005,247517,40958,62180,4243,3917,13608,232,1618,149381,,,1662,2962,1827,1719,1518,601,553,298198,8334,5621,3660,20687,214102,"Lorain County, Ohio",39,093,2014
452,147772,14442,315169,79811,1413,8264,339648,76386,150617,166876,182181,167237,2539,371,4055,2034,4187,176302,105325,68435,11214,25676,70977,58546,351079,66589,77853,6891,5014,18733,417,2219,216510,,,5367,6651,3957,3592,3553,1156,1011,429733,18138,12825,5379,24916,308942,"Lucas County, Ohio",39,095,2014
453,86661,6614,188038,36027,156,2209,184106,39774,84302,94295,95209,86341,1480,31,1903,759,1944,96868,60194,40200,4794,15200,36674,31525,194501,34361,43993,3871,4795,10339,0,949,116343,,,1958,2512,1957,1687,2321,386,543,227425,9346,7847,2126,18759,166626,"Mahoning County, Ohio",39,099,2014
454,29937,,59749,3727,49,282,54902,10262,,,,,,,,,,24346,15350,10096,717,4537,8996,7761,54679,11061,11955,1057,1031,5403,124,341,,,,709,669,1209,1469,819,86,140,60286,2126,2194,202,4501,47534,"Marion County, Ohio",39,101,2014
455,81828,,167716,2661,305,2566,139502,30600,63719,66434,,,,,,,,66081,49564,39936,3481,6147,16517,14484,142773,18331,43521,2095,2030,5638,80,251,87195,,,648,343,559,671,316,173,33,174908,1860,2190,2977,11402,123183,"Medina County, Ohio",39,103,2014
456,47546,,97841,2322,115,1528,83524,17455,37960,40128,,,,,,,,41339,27138,20994,2554,3590,14201,11995,83938,11220,22300,704,1803,5630,172,441,50370,,,588,506,633,129,292,252,151,103024,2350,2393,561,8178,71290,"Miami County, Ohio",39,109,2014
457,185918,7132,391215,111580,1735,9939,369068,136285,185203,207515,214763,197250,5779,719,4731,2360,6620,221744,131480,85424,11036,35020,90264,78784,433789,77418,97437,8930,6846,24173,464,2684,268032,,,5644,5336,4543,4109,4396,1240,1747,524594,20986,15092,5093,43783,367399,"Montgomery County, Ohio",39,113,2014
458,37987,,79198,2038,279,306,71430,12732,30528,34092,,,,,,,,33921,20898,15475,1842,3581,13023,10886,69680,11301,16228,1474,1560,4327,0,243,42242,,,742,818,838,932,745,154,548,85015,2723,3536,637,5639,60286,"Muskingum County, Ohio",39,119,2014
459,71650,,147943,7257,447,3157,125187,31219,60819,65326,72879,66698,264,173,2716,395,3972,61796,39612,30360,2589,6663,22184,16833,136986,24369,32437,1294,1897,7663,0,177,80546,,,2114,1014,694,887,746,115,216,160899,5328,2790,1971,11161,119759,"Portage County, Ohio",39,133,2014
460,51873,,106525,6854,71,785,98760,21411,47469,46540,,,,,,,,47378,30849,22842,2692,5315,16529,14024,99815,18083,24526,2222,1530,6758,0,289,57982,,,488,1489,910,788,741,290,51,115456,3011,3038,662,9502,85723,"Richland County, Ohio",39,139,2014
461,35335,,69400,4959,29,570,66367,9725,31110,28426,,,,,,,,27569,19263,13453,1072,4738,8306,7156,63715,12567,15063,1868,1464,4314,,,35836,,,421,745,599,236,617,218,259,71529,2608,1891,595,5814,54543,"Ross County, Ohio",39,141,2014
462,35189,,73218,1700,457,932,63194,12348,28985,29763,,,,,,,,30790,19740,14030,2005,3705,11050,8816,63284,10012,16031,1291,1009,4061,88,630,37946,,,1360,1448,1119,1535,398,199,193,74487,3900,2870,411,5098,55053,"Scioto County, Ohio",39,145,2014
463,158217,3408,333070,25665,360,2367,311395,56517,137625,150066,163167,146484,1940,612,2643,1291,4581,149011,98848,73840,6493,18515,50163,41954,308594,47796,78764,3468,3310,17795,85,1977,187850,,,3877,2538,2124,2499,2277,946,1095,370774,9394,9196,3686,27810,265628,"Stark County, Ohio",39,151,2014
464,207148,5261,430417,78174,1334,14880,412665,101817,190961,211295,243303,226276,5581,335,2881,980,7012,221568,137720,96666,10026,31028,83848,70072,446147,79418,105427,6319,6477,21779,263,2251,270901,,,3892,2936,3152,3620,3246,876,487,536929,17462,10956,8196,32815,391403,"Summit County, Ohio",39,153,2014
465,87571,,181617,18701,239,905,155712,45947,76789,82834,83795,78642,311,212,667,468,2311,86855,55026,37919,4316,12791,31829,27940,170264,26777,40278,2308,2913,12059,52,1949,102226,,,1256,1833,1735,1329,1504,647,345,201263,7917,4347,1327,15746,145953,"Trumbull County, Ohio",39,155,2014
466,43321,,89831,1030,264,794,78334,12087,33472,36328,,,,,,,,37516,25175,18943,1495,4737,12341,10740,75503,9680,21346,1033,1173,4449,0,386,45998,,,517,633,656,490,661,453,42,91871,3014,2687,757,7600,63949,"Tuscarawas County, Ohio",39,157,2014
467,96466,,197304,7758,180,10258,152401,55978,77005,76132,,,,,,,,79096,57985,47873,2912,7200,21111,16797,174675,24789,51637,3445,1937,8861,24,154,106375,,,505,647,438,309,135,53,34,214961,1970,2277,5914,12846,151490,"Warren County, Ohio",39,165,2014
468,53556,,110059,2180,102,1010,96198,16667,41440,43658,45898,40392,101,433,1549,1010,2491,42830,31494,24906,2191,4397,11336,9742,92069,12686,26433,1006,1104,4635,59,321,56110,,,340,1402,830,318,709,124,142,114424,3638,1894,937,6919,80314,"Wayne County, Ohio",39,169,2014
